,State,County,"Population estimates, July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Housing units in multi-unit structures, percent, 2009-2013","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Population per square mile, 2010","Land area in square miles, 2010",full_name,fips_code
32,ALABAMA,HALE COUNTY,"14,726",-6.6%,"15,762","15,760",6.6%,23.0%,19.2%,52.4%,40.7%,58.1%,0.3%,0.3%,,0.7%,1.4%,39.7%,769,0.6%,"7,845",71.5%,"$92,700","$1,001",$343,$510,6.1%,23,"5,658",2.6,93.2%,1.1%,65.6%,54.9%,83.6%,14.1%,15.3%,10.6%,48.7%,45.5%,,"28,115",,"29,373","76,502","$4,972",30.3,"$30,571","$20,272",25.6%,178,"1,921","69,499",3.6%,915,"1,067",633,385,468,576,141,890,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,24.5,643.94,"HALE COUNTY, ALABAMA",01065
33,ALABAMA,HENRY COUNTY,"17,209",-0.5%,"17,300","17,302",5.3%,20.6%,22.7%,51.8%,71.4%,26.3%,0.5%,0.4%,,1.5%,2.7%,69.3%,"1,230",1.1%,"9,183",82.8%,"$115,100","$1,033",$324,$608,4.6%,24,"6,669",2.52,91.5%,2.0%,81.0%,72.2%,80.2%,18.0%,14.1%,12.2%,52.7%,49.7%,,"22,368",,"40,638","100,338","$5,804",26.3,"$48,610","$24,069",17.9%,297,"2,276","96,584",-9.4%,"1,090","1,031",509,280,166,817,62,830,0.0%,0.0%,0.0%,0.0%,0.0%,18.2%,30.8,561.75,"HENRY COUNTY, ALABAMA",01067
34,ALABAMA,HOUSTON COUNTY,"104,722",3.1%,"101,554","101,547",6.1%,23.0%,17.8%,52.0%,69.1%,27.2%,0.5%,1.1%,0.1%,2.0%,3.4%,66.3%,"7,949",2.3%,"47,784",65.6%,"$130,500","$1,094",$324,$741,14.6%,377,"39,253",2.63,87.4%,3.7%,80.1%,70.4%,85.7%,21.0%,12.9%,11.1%,57.5%,52.1%,"212,977","1,061,902","1,390,781",,"2,164,855","$20,936",21.1,"$45,496","$25,990",16.5%,"2,720","44,787","1,778,188",2.3%,"7,104","8,810","4,444","3,266","1,960","6,409","1,086","7,178",12.1%,0.0%,1.4%,0.0%,1.3%,25.5%,175.1,579.82,"HOUSTON COUNTY, ALABAMA",01069
35,ALABAMA,JACKSON COUNTY,"51,736",-2.8%,"53,224","53,227",5.4%,20.9%,20.0%,50.9%,91.3%,3.6%,1.7%,0.6%,0.1%,2.8%,3.0%,89.1%,"2,902",1.7%,"25,253",74.1%,"$105,300","$1,012",$327,$619,6.9%,37,"20,626",2.49,93.4%,1.6%,78.3%,67.1%,82.5%,14.2%,13.6%,13.1%,50.7%,43.9%,"48,995",,"1,540,386",,"454,888","$8,580",25.2,"$39,816","$21,608",19.7%,840,"13,413","434,411",1.2%,"3,178","3,637","2,202","1,004",283,"3,239",404,"3,016",0.0%,4.3%,0.0%,0.0%,0.0%,26.8%,49.4,"1,077.87","JACKSON COUNTY, ALABAMA",01071
36,ALABAMA,JEFFERSON COUNTY,"659,300",0.1%,"658,506","658,466",6.4%,22.8%,15.9%,52.7%,53.2%,43.5%,0.3%,1.8%,0.1%,1.3%,4.0%,49.7%,"37,324",4.0%,"309,560",62.8%,"$154,400","$1,321",$410,$878,24.2%,"1,657","260,924",2.47,83.8%,5.9%,86.2%,76.4%,89.7%,32.4%,11.4%,10.0%,62.1%,57.9%,"1,461,142","7,766,161","10,951,810","15,668,520","10,154,005","$15,385",23.9,"$51,979","$30,657",16.1%,"16,430","315,802","15,966,005",0.3%,"48,609","57,590","30,937","21,298","19,911","35,268","6,086","48,182",23.4%,0.4%,2.4%,0.0%,1.3%,29.8%,592.5,"1,111.28","JEFFERSON COUNTY, ALABAMA",01073
37,ALABAMA,LAMAR COUNTY,"13,844",-4.9%,"14,564","14,564",5.4%,21.4%,21.7%,51.1%,87.3%,10.6%,0.3%,0.1%,,1.7%,1.7%,86.0%,770,0.6%,"7,435",76.4%,"$77,200",$894,$304,$392,9.0%,,"5,974",2.3,88.5%,0.7%,76.7%,63.0%,82.4%,12.5%,17.5%,11.5%,52.0%,42.7%,,"18,567","334,162",,"80,934","$5,676",27.9,"$36,756","$21,666",17.4%,246,"3,186","119,496",1.4%,928,"1,115",471,501,135,926,88,971,0.0%,0.0%,0.0%,0.0%,0.0%,25.8%,24.1,604.85,"LAMAR COUNTY, ALABAMA",01075
38,ALABAMA,LAUDERDALE COUNTY,"92,387",-0.3%,"92,709","92,709",5.1%,19.7%,20.1%,52.0%,87.0%,10.1%,0.5%,0.8%,0.1%,1.7%,2.9%,84.6%,"6,198",2.1%,"45,463",68.5%,"$136,400","$1,076",$361,$658,15.4%,175,"38,514",2.35,83.0%,3.3%,80.8%,68.7%,87.4%,23.9%,9.7%,11.3%,55.7%,50.3%,"159,073","449,847","778,187","577,642","1,190,789","$12,868",23.6,"$46,265","$27,189",14.0%,"1,996","25,760","791,759",0.8%,"6,488","8,552","4,797","2,504",699,"7,362",846,"6,928",5.5%,0.0%,0.8%,0.0%,0.0%,27.6%,138.8,667.70,"LAUDERDALE COUNTY, ALABAMA",01077
39,ALABAMA,LAWRENCE COUNTY,"32,957",-4.0%,"34,339","34,339",5.5%,21.6%,18.7%,51.3%,78.2%,10.9%,5.8%,0.2%,,4.8%,2.2%,76.4%,"1,578",1.0%,"15,475",79.1%,"$107,200","$1,031",$333,$540,5.9%,3,"12,811",2.57,91.7%,1.8%,76.0%,59.2%,79.0%,11.7%,15.1%,14.0%,49.9%,41.2%,,"44,120",,"38,941","218,020","$6,443",28.2,"$44,515","$23,557",19.3%,404,"3,256","96,795",3.8%,"1,987","2,226","1,080",895,407,"1,754",239,"1,913",0.0%,0.0%,0.0%,0.0%,1.1%,0.0%,49.7,690.68,"LAWRENCE COUNTY, ALABAMA",01079
40,ALABAMA,LEE COUNTY,"163,941",16.9%,"140,300","140,247",5.9%,21.3%,11.9%,50.8%,70.6%,23.1%,0.4%,4.2%,0.1%,1.7%,3.8%,67.5%,"9,958",5.5%,"70,369",60.3%,"$165,000","$1,270",$369,$831,23.8%,"1,131","59,373",2.58,80.0%,7.4%,90.3%,80.3%,90.5%,34.1%,9.5%,10.4%,60.1%,55.6%,"271,574","541,477","2,386,054","504,250","1,632,058","$11,083",22.2,"$48,056","$26,960",19.0%,"2,796","46,327","1,502,097",5.4%,"10,506","11,573","6,800","3,675","2,824","8,270","1,020","9,885",16.2%,0.0%,2.0%,0.4%,0.0%,28.2%,230.8,607.54,"LEE COUNTY, ALABAMA",01081
41,ALABAMA,LIMESTONE COUNTY,"96,174",16.2%,"82,782","82,782",5.6%,22.6%,15.2%,49.9%,81.2%,13.8%,0.8%,1.6%,0.2%,2.4%,6.1%,76.1%,"7,115",3.7%,"36,529",78.0%,"$152,900","$1,170",$355,$658,8.9%,159,"32,126",2.81,86.9%,6.6%,85.8%,76.6%,84.3%,25.5%,11.9%,11.0%,57.3%,51.5%,"81,402","170,064","841,436","332,711","777,105","$8,866",26.0,"$56,460","$27,699",11.4%,"1,379","17,747","655,274",4.7%,"5,917","5,969","3,073","2,245",852,"4,938",759,"5,016",4.8%,1.1%,0.8%,0.0%,1.3%,25.8%,147.8,559.94,"LIMESTONE COUNTY, ALABAMA",01083
42,ALABAMA,LOWNDES COUNTY,"9,974",-11.7%,"11,296","11,299",6.2%,22.6%,18.8%,53.2%,25.9%,72.5%,0.4%,0.4%,,0.7%,1.7%,25.1%,366,0.3%,"5,224",73.7%,"$66,300","$1,050",$402,$650,9.5%,,"4,180",2.43,89.4%,0.9%,66.2%,49.4%,77.5%,14.1%,19.8%,10.8%,48.3%,47.0%,"1,692","5,539","2,374,969",,"100,834","$9,287",32.0,"$30,833","$19,491",25.1%,108,"1,904","80,483",-3.3%,675,884,406,433,585,282,49,810,57.3%,0.0%,0.0%,0.0%,0.0%,35.2%,15.8,715.91,"LOWNDES COUNTY, ALABAMA",01085
43,ALABAMA,MACON COUNTY,"18,439",-14.0%,"21,448","21,452",4.6%,16.9%,20.4%,54.5%,17.0%,80.7%,0.3%,0.6%,,1.4%,1.8%,16.1%,"1,411",1.1%,"10,283",65.7%,"$79,500",$984,$366,$611,15.5%,2,"7,637",2.19,90.5%,3.1%,73.5%,55.8%,81.7%,20.7%,11.5%,10.6%,51.7%,49.4%,"29,031",,,,"93,239","$4,540",23.3,"$32,074","$20,125",30.2%,198,"4,878","204,506",-7.0%,963,"1,399",638,704,"1,089",268,159,"1,188",66.7%,0.0%,0.0%,0.0%,0.0%,0.0%,35.2,608.89,"MACON COUNTY, ALABAMA",01087
44,ALABAMA,MADISON COUNTY,"366,519",9.5%,"334,811","334,811",5.8%,21.8%,15.0%,51.1%,68.8%,24.9%,0.8%,2.7%,0.1%,2.6%,5.1%,64.6%,"32,614",5.5%,"164,272",67.2%,"$180,600","$1,292",$381,$829,21.4%,"2,782","145,256",2.4,83.8%,6.6%,90.9%,83.9%,91.1%,41.7%,9.0%,9.4%,63.6%,57.7%,"728,712","2,475,145","7,992,217","3,768,847","4,958,015","$14,451",21.4,"$63,417","$35,526",11.9%,"8,454","163,939","8,693,453",3.3%,"24,830","28,357","14,385","10,709","6,614","20,536","3,129","23,728",12.3%,1.4%,3.5%,0.0%,1.3%,29.2%,417.7,801.59,"MADISON COUNTY, ALABAMA",01089
45,ALABAMA,MARENGO COUNTY,"19,066",-9.4%,"21,038","21,027",6.3%,22.7%,19.6%,53.1%,46.9%,51.4%,0.2%,0.3%,0.2%,1.0%,2.6%,44.9%,974,0.4%,"10,379",71.2%,"$90,000","$1,092",$394,$531,9.1%,5,"7,768",2.48,93.9%,0.7%,67.4%,53.1%,83.8%,15.4%,18.6%,9.8%,46.3%,41.8%,"20,262","75,724","557,015","105,913","199,742","$9,791",25.5,"$32,809","$23,056",24.0%,465,"6,268","235,517",3.7%,"1,019","1,414",758,447,520,771,169,"1,078",0.0%,0.0%,0.0%,0.0%,0.0%,21.4%,21.5,976.88,"MARENGO COUNTY, ALABAMA",01091
46,ALABAMA,MARION COUNTY,"29,763",-3.3%,"30,776","30,776",5.4%,20.8%,21.2%,50.7%,94.0%,3.9%,0.4%,0.3%,0.1%,1.3%,2.6%,91.8%,"1,515",1.3%,"14,939",75.4%,"$86,500",$867,$311,$519,9.6%,,"12,212",2.41,89.0%,3.0%,77.6%,64.6%,79.7%,13.1%,18.9%,11.4%,52.1%,47.2%,"25,432","125,942","686,580","222,071","229,040","$7,552",24.1,"$35,392","$21,391",20.2%,570,"7,836","249,511",2.4%,"1,835","2,283","1,356",742,105,"2,114",319,"1,891",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,41.5,742.29,"MARION COUNTY, ALABAMA",01093
47,ALABAMA,MARSHALL COUNTY,"96,109",3.3%,"93,019","93,019",7.0%,24.9%,17.0%,50.6%,93.0%,3.0%,1.1%,0.7%,0.3%,1.8%,14.3%,80.4%,"6,127",6.6%,"40,816",70.4%,"$122,500","$1,056",$341,$632,9.5%,77,"34,896",2.7,86.8%,11.7%,82.5%,74.5%,80.9%,19.2%,10.6%,15.6%,55.4%,47.8%,"124,384","336,048","3,234,542","1,177,741","1,280,023","$13,506",24.6,"$42,490","$23,833",18.3%,"1,829","31,276","1,046,923",1.4%,"7,127","7,864","4,309","2,642",585,"6,984",850,"6,561",0.0%,0.0%,0.9%,0.0%,1.0%,24.9%,164.4,565.84,"MARSHALL COUNTY, ALABAMA",01095
48,ALABAMA,MOBILE COUNTY,"413,757",0.1%,"413,145","412,992",6.5%,23.4%,16.2%,52.4%,59.2%,36.1%,0.9%,2.1%,,1.7%,3.1%,56.7%,"27,976",3.3%,"184,688",64.9%,"$126,600","$1,165",$380,$846,17.4%,783,"155,831",2.6,87.5%,4.8%,82.5%,72.2%,86.2%,22.9%,9.7%,11.7%,56.6%,52.9%,"617,881","2,397,151","10,562,670","3,680,031","5,102,565","$12,327",25.0,"$46,166","$25,215",20.8%,"8,813","151,127","6,689,577",-0.3%,"30,649","35,912","17,396","15,511","13,509","21,087","3,705","30,590",18.8%,0.0%,2.4%,0.0%,1.2%,29.5%,335.9,"1,229.44","MOBILE COUNTY, ALABAMA",01097
49,ALABAMA,MONROE COUNTY,"21,067",-8.7%,"23,067","23,068",5.2%,21.6%,20.3%,52.5%,55.1%,41.2%,1.3%,0.5%,,1.8%,1.6%,54.0%,"1,472",0.6%,"11,455",60.9%,"$103,000","$1,020",$333,$524,6.8%,4,"8,149",2.61,92.2%,0.7%,50.4%,41.6%,83.7%,14.1%,10.2%,12.8%,45.4%,41.5%,"15,342","50,636","423,017","100,981","210,968","$9,334",25.7,"$30,141","$18,890",21.9%,390,"5,409","216,782",0.2%,"1,313","1,317",659,462,482,764,79,"1,159",23.6%,0.0%,0.0%,0.0%,0.0%,24.5%,22.5,"1,025.68","MONROE COUNTY, ALABAMA",01099
50,ALABAMA,MONTGOMERY COUNTY,"225,763",-1.6%,"229,378","229,363",6.7%,23.4%,15.1%,52.8%,35.9%,59.0%,0.3%,3.2%,0.1%,1.4%,3.5%,33.3%,"16,259",4.7%,"105,162",58.6%,"$127,500","$1,142",$365,$869,22.4%,395,"89,835",2.45,79.5%,5.9%,85.9%,77.4%,85.6%,32.1%,12.1%,11.0%,60.6%,57.4%,"474,521","1,780,734","10,786,565","4,140,806","3,258,650","$14,159",20.5,"$47,990","$28,008",20.1%,"5,585","103,273","4,390,365",-0.6%,"15,535","19,932","9,999","8,035","9,282","9,682","2,535","15,997",35.6%,0.7%,2.4%,0.0%,1.3%,30.9%,292.5,784.25,"MONTGOMERY COUNTY, ALABAMA",01101
51,ALABAMA,MORGAN COUNTY,"119,089",-0.3%,"119,486","119,490",6.0%,22.8%,17.5%,50.7%,82.8%,13.0%,1.1%,0.7%,0.2%,2.2%,8.5%,75.3%,"8,135",4.2%,"52,273",72.1%,"$131,000","$1,092",$347,$640,15.1%,149,"45,646",2.57,87.3%,7.4%,83.9%,72.8%,83.3%,21.7%,11.5%,11.6%,57.2%,51.3%,,"497,108",,"1,416,980","1,673,464","$13,900",23.6,"$49,751","$25,907",13.2%,"2,620","43,266","1,867,333",1.2%,"7,559","9,630","5,195","3,330","1,518","7,646",772,"8,183",5.9%,1.8%,1.0%,0.0%,0.0%,21.3%,206.3,579.34,"MORGAN COUNTY, ALABAMA",01103
52,ALABAMA,PERRY COUNTY,"9,140",-13.6%,"10,579","10,591",5.5%,21.2%,19.4%,53.2%,30.5%,67.9%,0.3%,0.6%,,0.7%,1.4%,29.6%,382,1.5%,"4,778",72.8%,"$65,900","$1,031",$332,$574,11.0%,,"3,079",2.82,93.6%,1.4%,55.9%,46.2%,78.1%,15.7%,18.5%,11.5%,34.4%,36.4%,,"7,107","165,951","14,700","34,746","$3,413",27.0,"$23,561","$13,678",35.3%,121,"1,577","47,644",1.0%,469,578,333,196,342,221,70,470,55.7%,0.0%,0.0%,0.0%,0.0%,41.3%,14.7,719.66,"PERRY COUNTY, ALABAMA",01105
53,ALABAMA,PICKENS COUNTY,"19,938",1.0%,"19,746","19,746",5.3%,19.7%,19.0%,50.1%,57.8%,40.2%,0.2%,0.3%,0.3%,1.0%,4.8%,53.9%,"1,316",3.3%,"9,623",74.0%,"$97,500","$1,025",$348,$456,10.7%,7,"7,530",2.49,89.2%,4.3%,72.9%,62.8%,80.6%,13.5%,16.9%,11.6%,47.4%,36.8%,,"44,741",,"29,821","100,573","$5,183",35.6,"$37,458","$22,417",23.1%,256,"2,654","86,315",0.6%,"1,102","1,489",796,585,496,966,158,"1,297",0.0%,0.0%,0.0%,0.0%,0.0%,10.0%,22.4,881.41,"PICKENS COUNTY, ALABAMA",01107
54,ALABAMA,PIKE COUNTY,"33,338",1.3%,"32,895","32,899",5.4%,19.0%,15.0%,51.7%,57.5%,37.7%,0.7%,2.1%,0.1%,1.9%,2.4%,55.8%,"1,873",4.3%,"16,226",59.3%,"$117,400","$1,097",$332,$621,18.5%,49,"11,547",2.73,86.7%,4.8%,69.3%,59.2%,81.0%,23.6%,13.0%,12.9%,55.4%,51.3%,"57,824","91,682","611,729",,"373,599","$11,259",21.1,"$34,678","$21,137",23.6%,658,"12,045","456,989",8.2%,"1,739","2,419","1,306",818,741,"1,510",312,"1,887",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,48.9,672.09,"PIKE COUNTY, ALABAMA",01109
55,ALABAMA,RANDOLPH COUNTY,"22,725",-0.8%,"22,916","22,913",5.8%,21.4%,20.4%,51.3%,77.8%,19.5%,0.5%,0.4%,0.1%,1.7%,2.9%,75.3%,"1,447",1.6%,"12,109",73.4%,"$88,700",$880,$315,$612,5.7%,,"8,643",2.56,89.5%,1.8%,79.6%,68.9%,78.8%,14.9%,9.2%,13.2%,49.8%,43.7%,"15,587","49,300","251,564",,"158,271","$6,980",26.8,"$41,449","$23,247",19.7%,338,"3,992","115,771",4.8%,"1,399","2,071","1,002",644,290,"1,725",223,"1,588",7.1%,0.0%,0.0%,0.0%,0.0%,0.0%,39.5,580.55,"RANDOLPH COUNTY, ALABAMA",01111
56,ALABAMA,RUSSELL COUNTY,"57,781",9.1%,"52,947","52,947",6.9%,24.2%,14.3%,52.0%,50.0%,45.7%,0.6%,0.9%,0.3%,2.6%,5.6%,46.0%,"5,593",2.5%,"27,855",59.8%,"$118,600","$1,115",$332,$800,19.8%,261,"22,740",2.53,79.7%,5.2%,82.5%,66.2%,83.3%,16.5%,14.0%,11.3%,56.1%,53.7%,"70,237",,"1,209,152",,"499,713","$8,643",25.4,"$40,978","$22,055",21.7%,790,"11,100","377,092",-0.5%,"3,289","4,546","2,331","1,940","1,754","2,657",625,"3,786",33.9%,0.0%,0.0%,0.0%,1.0%,32.4%,82.6,641.14,"RUSSELL COUNTY, ALABAMA",01113
57,ALABAMA,SHELBY COUNTY,"215,707",10.4%,"195,313","195,085",5.8%,23.5%,15.3%,51.7%,82.8%,13.1%,0.4%,2.3%,0.1%,1.4%,5.8%,77.5%,"12,877",5.3%,"88,388",79.7%,"$204,500","$1,416",$427,"$1,020",12.1%,"1,045","78,328",2.66,86.9%,8.0%,93.3%,86.4%,92.2%,42.1%,7.4%,7.9%,66.1%,59.4%,"334,421","583,410","1,700,041","4,651,335","2,567,384","$12,777",28.4,"$75,761","$36,576",8.0%,"5,238","84,028","4,251,776",0.7%,"17,637","18,665","10,504","5,937","2,636","15,391","2,036","15,653",5.7%,0.6%,0.0%,0.0%,2.0%,30.5%,248.5,784.93,"SHELBY COUNTY, ALABAMA",01117
58,ALABAMA,ST. CLAIR COUNTY,"88,690",6.4%,"83,345","83,593",6.0%,22.7%,16.6%,50.4%,87.8%,9.5%,0.4%,0.9%,0.1%,1.5%,2.5%,85.6%,"6,619",1.7%,"37,179",78.9%,"$148,200","$1,176",$360,$748,5.1%,200,"32,172",2.65,88.2%,2.6%,85.4%,75.2%,84.8%,16.5%,11.3%,10.0%,59.1%,55.4%,"89,759","133,540","931,311","476,371","704,432","$8,264",29.3,"$54,887","$24,861",12.0%,"1,313","18,226","618,779",8.2%,"5,758","6,119","3,678","1,853",504,"5,421",657,"5,196",2.4%,1.0%,1.4%,0.0%,0.0%,28.1%,132.3,631.90,"ST. CLAIR COUNTY, ALABAMA",01115
59,ALABAMA,SUMTER COUNTY,"12,691",-7.8%,"13,763","13,763",5.7%,19.0%,18.0%,54.3%,25.3%,71.8%,0.1%,2.0%,,0.8%,1.2%,24.6%,590,2.1%,"6,909",64.9%,"$74,600",$941,$334,$578,16.3%,9,"5,047",2.4,92.1%,3.3%,70.8%,57.9%,84.2%,21.8%,16.4%,11.4%,44.5%,41.8%,"10,677","26,888",,"60,158","62,101","$4,625",25.7,"$23,132","$15,882",34.7%,197,"2,937","114,713",-1.8%,753,875,430,372,571,261,70,762,57.5%,0.0%,0.0%,0.0%,0.0%,0.0%,15.2,903.89,"SUMTER COUNTY, ALABAMA",01119
60,ALABAMA,TALLADEGA COUNTY,"79,828",-3.0%,"82,283","82,291",5.4%,21.2%,18.0%,51.7%,64.3%,32.8%,0.4%,0.7%,,1.8%,2.4%,62.5%,"5,124",1.7%,"37,910",71.3%,"$101,800","$1,005",$339,$630,11.6%,43,"31,407",2.46,86.3%,2.8%,81.0%,69.8%,81.0%,14.3%,14.7%,10.3%,52.1%,49.4%,,,,,"743,404","$9,092",25.0,"$41,012","$22,498",19.3%,"1,256","24,653","1,069,099",2.4%,"4,037","4,812","2,477","1,857","1,158","3,451",434,"4,106",0.0%,0.0%,1.5%,0.0%,0.0%,26.6%,111.7,736.78,"TALLADEGA COUNTY, ALABAMA",01121
61,ALABAMA,TALLAPOOSA COUNTY,"40,497",-2.7%,"41,618","41,616",5.5%,20.7%,21.6%,51.5%,70.4%,27.1%,0.4%,0.6%,0.1%,1.3%,2.4%,68.8%,"2,898",1.5%,"22,520",72.8%,"$107,800",$964,$349,$648,10.1%,137,"16,448",2.43,90.5%,1.7%,79.8%,70.0%,80.5%,18.3%,12.9%,11.9%,51.0%,46.0%,"36,964","186,303","456,294",,"361,849","$8,790",26.1,"$43,361","$23,655",19.7%,771,"10,508","335,248",-3.1%,"2,631","2,602","1,675",701,396,"2,067",304,"2,152",13.0%,0.0%,0.0%,0.0%,0.0%,35.0%,58.1,716.52,"TALLAPOOSA COUNTY, ALABAMA",01123
62,ALABAMA,TUSCALOOSA COUNTY,"208,911",7.3%,"194,668","194,656",6.0%,20.9%,13.3%,51.9%,64.6%,32.1%,0.3%,1.6%,0.1%,1.3%,3.9%,61.2%,"10,454",3.7%,"93,004",63.2%,"$166,000","$1,239",$379,$843,27.9%,"1,017","72,379",2.71,82.7%,5.6%,86.5%,78.0%,88.4%,30.3%,8.8%,9.3%,59.5%,55.6%,,"1,412,968","14,291,085","1,180,814","2,619,255","$13,189",22.6,"$52,221","$26,064",16.8%,"4,111","79,473","3,284,451",1.1%,"12,601","14,255","7,482","5,171","3,303","10,334","1,328","12,014",13.3%,0.9%,0.0%,0.0%,0.0%,22.5%,147.3,"1,321.76","TUSCALOOSA COUNTY, ALABAMA",01125
63,ALABAMA,WALKER COUNTY,"63,711",-4.9%,"67,023","67,023",6.0%,22.2%,19.3%,51.3%,91.0%,6.2%,0.6%,0.6%,0.1%,1.6%,2.6%,88.9%,"4,016",1.4%,"31,241",76.1%,"$93,100","$1,043",$334,$603,5.7%,4,"25,036",2.54,86.7%,2.2%,80.0%,68.0%,80.9%,11.6%,18.0%,11.7%,52.3%,46.3%,"75,287","311,699","505,651","279,364","963,493","$14,550",28.7,"$41,748","$22,772",17.9%,"1,232","14,537","521,435",-2.5%,"3,761","4,641","2,597","1,608",472,"3,997",367,"4,018",0.0%,0.0%,0.6%,0.0%,0.0%,23.8%,84.7,791.19,"WALKER COUNTY, ALABAMA",01127
64,ALABAMA,WASHINGTON COUNTY,"16,378",-6.8%,"17,581","17,581",5.3%,22.0%,19.1%,50.8%,66.2%,23.5%,7.9%,0.9%,0.1%,1.4%,1.6%,65.1%,"1,050",1.1%,"8,573",83.8%,"$85,200","$1,039",$347,$709,2.0%,,"6,007",2.75,92.9%,0.9%,76.0%,58.3%,80.4%,11.1%,18.5%,13.9%,44.6%,38.9%,,,,,"75,720","$4,426",34.8,"$40,794","$22,776",17.6%,208,"5,214","396,183",4.7%,"1,043","1,176",583,402,341,789,132,998,0.0%,0.0%,0.0%,0.0%,0.0%,25.6%,16.3,"1,080.21","WASHINGTON COUNTY, ALABAMA",01129
65,ALABAMA,WILCOX COUNTY,"10,627",-8.9%,"11,667","11,670",6.4%,23.8%,19.4%,52.4%,27.4%,71.3%,0.2%,0.2%,,0.8%,1.4%,26.6%,447,0.5%,"5,780",65.0%,"$82,200",$950,$402,$524,5.7%,3,"3,804",2.77,92.3%,2.8%,62.4%,49.2%,76.9%,12.5%,13.4%,10.5%,39.8%,38.7%,,"15,973",,,"72,837","$6,372",25.4,"$27,237","$16,584",33.4%,185,"2,031","95,907",5.9%,562,862,467,315,512,314,137,669,66.2%,0.0%,0.0%,0.0%,0.0%,37.6%,13.1,888.50,"WILCOX COUNTY, ALABAMA",01131
66,ALABAMA,WINSTON COUNTY,"23,660",-3.4%,"24,488","24,484",5.4%,20.4%,21.6%,50.7%,96.2%,0.9%,0.9%,0.4%,0.2%,1.5%,3.2%,93.7%,"1,592",1.1%,"13,747",79.0%,"$87,800",$989,$324,$525,5.3%,5,"9,403",2.5,87.8%,2.2%,75.7%,62.2%,78.1%,13.5%,19.6%,12.8%,49.9%,43.1%,,"57,913","608,159","207,692","165,007","$6,844",29.3,"$38,504","$21,799",18.6%,447,"6,631","219,635",3.7%,"1,665","1,836",919,638,40,"1,667",253,"1,517",0.0%,0.0%,0.0%,0.0%,0.0%,19.6%,39.9,612.98,"WINSTON COUNTY, ALABAMA",01133
67,ALASKA,ALEUTIANS EAST BOROUGH COUNTY,"3,515",11.9%,"3,141","3,141",2.4%,7.9%,9.2%,32.5%,20.6%,11.6%,19.7%,43.4%,1.2%,3.6%,14.7%,8.6%,127,32.6%,752,61.9%,"$123,000","$1,146",$563,$992,15.7%,2,860,2.6,82.2%,38.8%,86.5%,67.3%,86.4%,12.7%,5.2%,27.9%,82.7%,78.3%,,,,,,,4.5,"$69,706","$32,510",15.5%,58,"2,280","90,818",0.7%,236,300,208,28,220,47,,278,0.0%,71.8%,0.0%,0.0%,0.0%,0.0%,0.4,"6,981.94","ALEUTIANS EAST BOROUGH, ALASKA",02013
